"Code","Subject Code","Number","Cross-listed","Course Title","Lecture Hours","Lab/Studio Hours","Credits","Semester Typically Offered","Foundations Designation","Description","Grading Basis","(requiresPermission)","Prerequisites","Co-requisites","Repeatable","Max Attempts","Total Credits Allowed","Course Type","Course Level","College","Department"
"ACAD109","ACAD","109",,"Major Exploration","2","0","2","fall and spring only",,"Assists undeclared or exploring students in deciding on a college major. Utilize assessments and exercises to examine personalities, values, interests, strengths, and goals, and use self-knowledge to identify potential majors. Examines how academic majors translate into careers and how to research career options.","Letter Grade - Regular",,,,"false",,,"Lecture","Undergraduate","Boise State University","Academics - ACAD"
"ACAD102","ACAD","102",,"Academic Recovery and Success","3","0","3","fall or spring or summer or all",,"Supports students in making satisfactory academic progress in their current courses and improving their cumulative GPAs by examining the behaviors and mindsets associated with academic success. Students will focus on goal setting, motivation, academic skill building, and time management skills needed to achieve their educational and personal goals.","Letter Grade - Regular",,,,"false",,,"Seminar","Undergraduate","Boise State University","Academics - ACAD"
"ACAD110","ACAD","110",,"Bronco Ready","1","0","1","fall or spring or both",,"An introduction to Boise State as a learner. Primary objectives are to inform and share awareness to first-semester students about success tips, tools, and services that enhance their transition, social integration, and academic persistence. Emphasis of the course is on students understanding the Boise State campus and culture, becoming familiar with Canvas navigation, and developing skills and competencies to be stronger, more successful students in their first year and beyond. ","Pass/Fail - PF",,,,"false",,,"Lecture","Undergraduate","Boise State University","Advising and Academic Enhancement"
"ACAD108","ACAD","108",,"Career and Life Planning","2","0","2","fall and spring and summer",,"Helps students plan and prepare for the life they want after college. Learn how to choose a career path that balances interests, abilities, and values with realities of the job market. Explore majors, identify steps required to become employable, and build job search skills necessary to achieve goals.","Letter Grade - Regular",,,,"false",,,"Lecture","Undergraduate","Boise State University","Academics - ACAD"
"ACAD101","ACAD","101",,"Academic Success Topics","V","0","1–3","fall and spring and summer",,"Focuses on the development of skills, attitudes and behaviors associated with academic success in college. Selected topics may include: transition to university life for specific groups of students (such as veterans, athletes, international students, high school students, and non-traditional students); exploration of campus resources and opportunities; time management and basic study skills; and math success strategies. Course, but not topics, may be repeated for up to five credits.","Letter Grade - Regular",,,,"true","5","5","Lecture","Undergraduate","Boise State University","Academics - ACAD"
"ACAD107","ACAD","107",,"Preparing for Online Learning","1","0","1","fall and spring and summer",,"Designed to help students acquire skills and knowledge in the areas of computer/Internet literacy, technology management, online communications, organization, and time management necessary for success in taking classes online or via the Internet.","Pass/Fail/Audit - PFA",,,,"false",,,"Lecture","Undergraduate","Boise State University","Academics - ACAD"
"ACCT206","ACCT","206",,"Introduction to Managerial Accounting","3","0","3","fall and spring and summer",,"Emphasizes the use of accounting information in business planning, control, and decision making. Students should develop their abilities to: 1) identify and gather relevant financial information for decision making and prepare elementary reports; 2) understand and evaluate published financial reports; and 3) communicate this information to assist in managerial decision making.","Letter Grade - Regular",,"Complete all of the following
Completed the following:
  ACCT205 - Introduction to Financial Accounting (3)

Completed the following:
  ITM105 - Spreadsheet Topics (2)

Or satisfactory completion of computer competency exam covering basic spreadsheet skills
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT304","ACCT","304",,"Intermediate Accounting I","3","0","3","fall and spring only",,"Study of financial reporting concepts and preparation of general purpose financial statements for external users based on U.S. generally accepted accounting principles. Emphasis on income measurement and valuation of assets.","Letter Grade - Regular",,"Complete all of the following
Declared or admitted to College of Business and Economics Admission
Completed the following:
  ACCT206 - Introduction to Managerial Accounting (3)
  ACCT290 - Foundations of the Accounting Profession (3)

Complete 1 of the following
  Completed the following:
    ITM105 - Spreadsheet Topics (2)

  Or satisfactory completion of computer competency exam covering basic spreadsheet skills
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT504","ACCT","504",,"Foundations of Financial Statement Auditing","3","0","3","fall and spring and summer",,"Introduction to financial statement audits, which provide the credibility necessary for the financial markets to operate. Topics include professional standards, SEC requirements for auditors in planning, evidence gathering and accumulation, and reporting. Ethical and legal considerations are also discussed.","Letter Grade - Regular",,"Earned a minimum grade of C in each of the following courses:
ACCT500 - Foundations of Financial Reporting I (3)
ACCT549 - Foundations of Accounting Information Systems (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT550","ACCT","550",,"Accounting and Financial Analytics","3","0","3","spring only",,"Advanced coverage of data analytics techniques and software, with a focus on data sources and decision making relevant to a variety of accounting and financial topics.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT546","ACCT","546",,"Accounting for Income Taxes","3","0","3","fall and summer only",,"Focuses on the financial reporting (U.S. GAAP) related to income tax provisions under FASB Accounting Standards Codification Topic 740 (ASC 740). Prepares students to calculate and report income tax amounts related to the income statement, balance sheet, cash flow statement, income tax footnote, and related disclosures.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT595","ACCT","595",,"Reading and Conference","V","V","1–4","fall or spring or summer or all",,"The conduct of topical research, assigned readings or literature review. The faculty advisor and the student prepare and sign an agreement describing the amount and type of work to be accomplished. Either graded or pass/fail.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"true","99","99","Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT696","ACCT","696",,"Directed Research","V","V","1–6","fall or spring or summer or all",,"Research conducted by a graduate student under the supervision of a member of the graduate faculty. Requires the clear statement of a hypothesis or proposition, a review of the relevant literature, analysis and synthesis of data or scholarly evidence, and the inference of conclusions. The results must be stated in a report written in clear and effective English. Requires submission of an Application for Directed Research prior to the deadline specified in the academic calendar. Either graded or pass/fail.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"true","99","99","Directed Research","Graduate","College of Business and Economics","Accountancy"
"ACCT590","ACCT","590",,"Practicum/Internship","V","V","1–12","fall or spring or summer or all",,"To earn graduate credit you must have a 3.00 cumulative GPA and no more than 12 credits may be applied toward a graduate degree or second undergraduate degree. Some graduate programs, however, accept only 3 internships credits. Practicum/Internship cannot be repeated to improve a grade. Either graded or pass/fail.
Notes: An undergraduate internship is an entry level employment experience related to the discipline. The graduate intern already has an undergraduate degree and is expected to perform with a higher level of responsibility, decision-making authority, and accomplishment.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"true","99","99","Practicum","Graduate","College of Business and Economics","Accountancy"
"ACCT507","ACCT","507",,"Forensic Accounting and Fraud Examination","3","0","3","spring only",,"Introduction to forensic accounting, with an emphasis on fraud auditing. Examines professional standards, licensure requirements, engagement planning, evidence collection, as well as reporting and other professional requirements. Includes the unique role of the forensic accountant as a litigation support specialist and related legal and ethical considerations.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete 1 of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT293","ACCT","293",,"Internship","V","V","1–12","fall or spring or summer or all",,"Internship credits are earned in supervised fieldwork specifically related to a student's major. To enroll in courses numbered 293 or 493, a student must have attained a cumulative grade-point average of 2.00 or higher. No more than 12 credits of internship and/or Work U may be applied towards graduation requirements.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"true","99","99","Internship","Undergraduate","College of Business and Economics","Accountancy"
"ACCT302","ACCT","302",,"Survey of Federal Income Taxation","3","0","3","fall and spring only",,"Theory and practice of federal income taxation, including concepts of taxation as they apply to businesses, individuals, flow-through entities and corporations. Specific topics include property transactions, individual tax rules, business revenue and expense issues, and state taxation. Emphasizes the social, political and ethical considerations of tax law.","Letter Grade - Regular",,"Complete all of the following
Declared or admitted to College of Business and Economics Admission
Completed the following:
  ACCT206 - Introduction to Managerial Accounting (3)

Completed the following:
  ITM105 - Spreadsheet Topics (2)

Or satisfactory completion of computer competency exam covering basic spreadsheet skills
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT516","ACCT","516",,"Financial Analysis and Valuation","3","0","3","fall only",,"Study of the theory and practice of financial statement analysis and business valuation. Methods of fundamental analysis and business valuation are examined and applied in problems, cases and projects.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT498","ACCT","498",,"Seminar","3","0","3","fall or spring or summer or all",,"A seminar is a small class that examines a particular topic. Seminars are typically discussion oriented and are most commonly offered at the junior, senior, or graduate level.","Letter Grade - Regular",,,,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT540","ACCT","540",,"Taxation of Nonprofit Organizations","3","0","3","summer only",,"Overview of tax issues affecting nonprofits. Topics include: qualifying for and maintaining federal tax-exempt status, the unrelated business income tax, private foundations, and charitable deductions.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT575","ACCT","575",,"International Taxation","3","0","3","fall or spring or summer or all",,"Multinational tax law for domestic corporations with operations abroad and nonresident citizens.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT510","ACCT","510",,"Advanced Accounting","3","0","3","fall only",,"Accounting for business combinations, including consolidated financial statements, and governmental accounting.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT570","ACCT","570",,"Multi-State Taxation","3","0","3","fall only",,"State income tax issues and sales and use tax issues with a special focus on issues faced by multistate taxpayers.","Letter Grade - Regular",,"Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
