Code,Subject Code,Course Title,Credits,Semester Typically Offered,Foundations Designation,Description,Grading Basis,Course Type,Course Level,College,Department
ACAD109,ACAD,Major Exploration,2,fall and spring only,NULL,Assists undeclared or exploring students in deciding on a college major. Utilize assessments and exercises to examine personalities%COMMA% values%COMMA% interests%COMMA% strengths%COMMA% and goals%COMMA% and use self-knowledge to identify potential majors. Examines how academic majors translate into careers and how to research career options.,Letter Grade - Regular,Lecture,Undergraduate,Boise State University,Academics - ACAD
ACAD102,ACAD,Academic Recovery and Success,3,fall or spring or summer or all,NULL,Supports students in making satisfactory academic progress in their current courses and improving their cumulative GPAs by examining the behaviors and mindsets associated with academic success. Students will focus on goal setting%COMMA% motivation%COMMA% academic skill building%COMMA% and time management skills needed to achieve their educational and personal goals.,Letter Grade - Regular,Seminar,Undergraduate,Boise State University,Academics - ACAD
ACAD110,ACAD,Bronco Ready,1,fall or spring or both,NULL,An introduction to Boise State as a learner. Primary objectives are to inform and share awareness to first-semester students about success tips%COMMA% tools%COMMA% and services that enhance their transition%COMMA% social integration%COMMA% and academic persistence. Emphasis of the course is on students understanding the Boise State campus and culture%COMMA% becoming familiar with Canvas navigation%COMMA% and developing skills and competencies to be stronger%COMMA% more successful students in their first year and beyond. ,Pass/Fail - PF,Lecture,Undergraduate,Boise State University,Advising and Academic Enhancement
ACAD108,ACAD,Career and Life Planning,2,fall and spring and summer,NULL,Helps students plan and prepare for the life they want after college. Learn how to choose a career path that balances interests%COMMA% abilities%COMMA% and values with realities of the job market. Explore majors%COMMA% identify steps required to become employable%COMMA% and build job search skills necessary to achieve goals.,Letter Grade - Regular,Lecture,Undergraduate,Boise State University,Academics - ACAD
ACAD101,ACAD,Academic Success Topics,1-3,fall and spring and summer,NULL,Focuses on the development of skills%COMMA% attitudes and behaviors associated with academic success in college. Selected topics may include: transition to university life for specific groups of students (such as veterans%COMMA% athletes%COMMA% international students%COMMA% high school students%COMMA% and non-traditional students); exploration of campus resources and opportunities; time management and basic study skills; and math success strategies. Course%COMMA% but not topics%COMMA% may be repeated for up to five credits.,Letter Grade - Regular,Lecture,Undergraduate,Boise State University,Academics - ACAD
ACAD107,ACAD,Preparing for Online Learning,1,fall and spring and summer,NULL,Designed to help students acquire skills and knowledge in the areas of computer/Internet literacy%COMMA% technology management%COMMA% online communications%COMMA% organization%COMMA% and time management necessary for success in taking classes online or via the Internet.,Pass/Fail/Audit - PFA,Lecture,Undergraduate,Boise State University,Academics - ACAD
ACCT206,ACCT,Introduction to Managerial Accounting,3,fall and spring and summer,NULL,Emphasizes the use of accounting information in business planning%COMMA% control%COMMA% and decision making. Students should develop their abilities to: 1) identify and gather relevant financial information for decision making and prepare elementary reports; 2) understand and evaluate published financial reports; and 3) communicate this information to assist in managerial decision making.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT304,ACCT,Intermediate Accounting I,3,fall and spring only,NULL,Study of financial reporting concepts and preparation of general purpose financial statements for external users based on U.S. generally accepted accounting principles. Emphasis on income measurement and valuation of assets.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT504,ACCT,Foundations of Financial Statement Auditing,3,fall and spring and summer,NULL,Introduction to financial statement audits%COMMA% which provide the credibility necessary for the financial markets to operate. Topics include professional standards%COMMA% SEC requirements for auditors in planning%COMMA% evidence gathering and accumulation%COMMA% and reporting. Ethical and legal considerations are also discussed.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT550,ACCT,Accounting and Financial Analytics,3,spring only,NULL,Advanced coverage of data analytics techniques and software%COMMA% with a focus on data sources and decision making relevant to a variety of accounting and financial topics.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT546,ACCT,Accounting for Income Taxes,3,fall and summer only,NULL,Focuses on the financial reporting (U.S. GAAP) related to income tax provisions under FASB Accounting Standards Codification Topic 740 (ASC 740). Prepares students to calculate and report income tax amounts related to the income statement%COMMA% balance sheet%COMMA% cash flow statement%COMMA% income tax footnote%COMMA% and related disclosures.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT595,ACCT,Reading and Conference,1-4,fall or spring or summer or all,NULL,The conduct of topical research%COMMA% assigned readings or literature review. The faculty advisor and the student prepare and sign an agreement describing the amount and type of work to be accomplished. Either graded or pass/fail.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT696,ACCT,Directed Research,1-6,fall or spring or summer or all,NULL,Research conducted by a graduate student under the supervision of a member of the graduate faculty. Requires the clear statement of a hypothesis or proposition%COMMA% a review of the relevant literature%COMMA% analysis and synthesis of data or scholarly evidence%COMMA% and the inference of conclusions. The results must be stated in a report written in clear and effective English. Requires submission of an Application for Directed Research prior to the deadline specified in the academic calendar. Either graded or pass/fail.,Letter Grade - Regular,Directed Research,Graduate,College of Business and Economics,Accountancy
ACCT590,ACCT,Practicum/Internship,1-12,fall or spring or summer or all,NULL,"To earn graduate credit you must have a 3.00 cumulative GPA and no more than 12 credits may be applied toward a graduate degree or second undergraduate degree. Some graduate programs%COMMA% however%COMMA% accept only 3 internships credits. Practicum/Internship cannot be repeated to improve a grade. Either graded or pass/fail. Notes: An undergraduate internship is an entry level employment experience related to the discipline. The graduate intern already has an undergraduate degree and is expected to perform with a higher level of responsibility%COMMA% decision-making authority%COMMA% and accomplishment.",Letter Grade - Regular,Practicum,Graduate,College of Business and Economics,Accountancy
ACCT507,ACCT,Forensic Accounting and Fraud Examination,3,spring only,NULL,Introduction to forensic accounting%COMMA% with an emphasis on fraud auditing. Examines professional standards%COMMA% licensure requirements%COMMA% engagement planning%COMMA% evidence collection%COMMA% as well as reporting and other professional requirements. Includes the unique role of the forensic accountant as a litigation support specialist and related legal and ethical considerations.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT293,ACCT,Internship,1-12,fall or spring or summer or all,NULL,Internship credits are earned in supervised fieldwork specifically related to a student's major. To enroll in courses numbered 293 or 493%COMMA% a student must have attained a cumulative grade-point average of 2.00 or higher. No more than 12 credits of internship and/or Work U may be applied towards graduation requirements.,Letter Grade - Regular,Internship,Undergraduate,College of Business and Economics,Accountancy
ACCT302,ACCT,Survey of Federal Income Taxation,3,fall and spring only,NULL,Theory and practice of federal income taxation%COMMA% including concepts of taxation as they apply to businesses%COMMA% individuals%COMMA% flow-through entities and corporations. Specific topics include property transactions%COMMA% individual tax rules%COMMA% business revenue and expense issues%COMMA% and state taxation. Emphasizes the social%COMMA% political and ethical considerations of tax law.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT516,ACCT,Financial Analysis and Valuation,3,fall only,NULL,Study of the theory and practice of financial statement analysis and business valuation. Methods of fundamental analysis and business valuation are examined and applied in problems%COMMA% cases and projects.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT498,ACCT,Seminar,3,fall or spring or summer or all,NULL,A seminar is a small class that examines a particular topic. Seminars are typically discussion oriented and are most commonly offered at the junior%COMMA% senior%COMMA% or graduate level.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT540,ACCT,Taxation of Nonprofit Organizations,3,summer only,NULL,Overview of tax issues affecting nonprofits. Topics include: qualifying for and maintaining federal tax-exempt status%COMMA% the unrelated business income tax%COMMA% private foundations%COMMA% and charitable deductions.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT575,ACCT,International Taxation,3,fall or spring or summer or all,NULL,Multinational tax law for domestic corporations with operations abroad and nonresident citizens.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT510,ACCT,Advanced Accounting,3,fall only,NULL,Accounting for business combinations%COMMA% including consolidated financial statements%COMMA% and governmental accounting.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
